,Count
Spiegelau,49
spicyness,25
drinksble,1
Drinkability,826
Barleywine,101
fisish,2
becher,8
hoppiness,417
stoutish,7
Drinkabitity,1
gaggingly,1
beerc,1
Narke,1
Popskull,1
Pkgd,2
offwhite,44
Murkbro,1
Smokiness,2
whifs,1
Landbierparadies,2
Viendo,4
Caduca,1
Correcta,1
intensidad,3
exponentes,1
wateriness,7
Lamost,1
undercarbonated,17
resiny,207
clovey,13
booziness,187
deeeppp,1
nonic,100
Citrusy,70
hoppier,56
barleywine,310
breadiness,152
winy,2
presencez,1
dreadnaughts,1
omiyage,1
CRJMellor,4
Rapscallion,6
dankness,114
crackery,122
Ayinger,12
Marzen,33
Drinkabity,2
amberish,16
sippable,7
stickage,8
caramelish,17
sweeetness,1
estery,76
dunkelweizens,3
Billowing,7
Ymmv,1
balanaced,3
witbier,50
hoegaarden,2
pokal,5
sherbety,2
champagney,1
chugalug,1
doppelbock,61
alcoholy,8
puckeringly,10
belgians,13
wheaty,99
farmy,9
drinakability,1
sweettart,3
celebrator,2
dopplebock,17
dopplebocks,6
Blipped,3
quaffer,17
Kviek,2
LampertLand,11
grassiness,89
definitelly,2
litel,1
Bruery,85
Hottenroth,5
zimmerbloke,3
GraniteSkunk,1
TulipSnifter,2
BCBCS,10
carmely,4
Ottauquechee,1
drinkablity,8
identicalO,1
boch,1
dryish,17
mughugger,2
ringwood,1
lambics,34
Handbottle,1
gunhaver,3
drinklability,1
willi,3
aite,2
biegaman,8
bourbony,19
toastedness,1
fluffly,3
tannish,45
Kellerbier,4
tripel,188
spritzy,73
Azacca,11
roatstiness,1
birkinau,1
Cinnsanity,1
Yeasty,46
stonefruit,15
FPBC,1
dubbel,66
soapiness,16
SNPA,17
SNCA,1
Piddly,1
grainyness,6
perfumey,25
witbiers,15
berliner,19
lemonx,1
berliners,2
moderatly,4
sixpoint,2
versitility,1
refresing,1
PKGD,6
demensional,2
Skyroc,1
eqsque,1
fst,1
cachaca,1
Raisiny,2
fizziness,11
JMBH,1
bannana,9
Brewbaker,1
Firemans,1
ligher,1
riversidepark,1
froal,1
withfairly,1
balenced,8
drinkble,1
deisired,1
bretty,20
toastiness,39
Spendrups,1
carbed,26
Leafer,1
cItrusy,1
sudued,2
maltiest,3
IIPAs,14
semisweetness,1
continur,1
AwYeh,1
diminshing,1
hopbitterness,1
mouthsticky,1
mouthfeeling,2
maibocks,3
pilsener,57
saaz,12
storng,1
lupulin,8
nearl,1
Troeg,5
Hopback,4
Begyle,1
kolsch,33
whispy,18
lustrously,1
piny,71
Dayglow,1
tosted,1
adamharbaugh,2
generalness,1
yeastiness,85
Kappitel,3
weizen,80
teku,63
maibock,16
mahagony,14
solventy,2
laceing,8
GLASSWARE,5
rinser,1
Rudgates,1
retronasally,2
Maltiness,11
deucer,1
amagic,1
Caramelly,6
Swigs,2
JBDubs,1
beering,6
tallboys,4
Maibock,18
flemmy,17
unsweet,6
astringencies,3
nectared,1
Sebastion,3
angram,2
handpump,7
butteriness,9
moch,2
dissiptes,2
minuites,1
Tarness,1
Dissipated,4
wattery,3
Smithworks,1
leaviong,1
poreter,1
roastiness,200
caronation,1
johnyb,1
rDev,5
dogbones,1
Oakiness,1
fritiness,1
Fantomish,1
Fantomes,3
Siason,1
sutle,3
tepidness,1
Draak,12
Rastal,6
prounounced,2
gasohol,2
frothiness,28
Spiegleau,1
RJT,22
Rediculously,1
weissbier,6
pinewards,1
Resiny,25
Madtree,2
hoppines,5
Superdamp,1
helles,19
Gkunkle,1
mildy,7
Scaldis,4
vinager,1
dortmunder,3
oktoberfest,23
yeastinsss,1
quaffers,3
kilned,8
schwarzbier,16
Oktoberfestbier,2
tavour,1
Caramalized,1
Optimator,3
Weyerbacher,31
Fruitiness,12
rauchbier,15
hefeweizen,93
schlenkerla,1
ottovon,3
Tartness,15
maltyness,28
Longtrail,1
dubbels,17
bitternes,5
Sunglow,1
forgetable,1
copperish,10
perfumy,31
Schmalt,1
drinkabillity,1
Hoptastic,1
untasted,1
barleywinesh,1
stoopidly,1
Snifter,36
oranged,2
Witbier,16
fruitness,7
oter,1
ontap,2
silkyness,1
skunkiness,8
dissapating,8
maltieness,1
syrupness,1
reminiscient,3
earhty,2
domunant,1
notworthy,1
slicknes,1
defintily,1
bockiness,1
TMBC,1
bocks,17
lessoned,1
Echidnas,1
thinnish,10
lucency,1
ceasar,1
swingtop,4
soso,1
NEIPAs,17
Liqour,2
grapefruity,58
Verging,2
follws,1
aneffect,1
Unibroue,79
almos,1
woudn,1
efervesence,1
hoegarden,1
rochefort,3
maroonish,1
trappists,4
westvleteren,4
galss,1
chared,2
tedpeer,1
andechser,1
wheatiness,16
lagered,8
Decanted,13
Kulmbacher,3
chunckage,1
malteds,1
colden,1
imprssive,1
McDonals,1
quicly,5
Gollem,1
crowler,31
peachiness,5
braggot,3
braggots,2
VineShine,1
mollasses,6
flavinoids,1
Kristalweizen,1
jackhammered,1
abrasively,2
Dissipates,13
Lueken,1
Liquers,1
celler,4
wierdness,1
Wheaty,16
Karmeliet,8
Tripels,19
HopCat,3
Chipotles,1
orangeish,7
definatlly,1
chesnut,5
nicelly,1
mainlly,1
fromhow,1
seesm,1
reallyenjoyed,1
papat,1
Brasseurs,1
Illimites,1
hopiness,15
fulll,1
flintstones,1
handgrenade,1
gourdlike,1
mahoghany,5
disappating,2
bittersweetness,6
JLindros,9
lightstruck,3
SkullSplitter,6
trat,1
amix,1
Sevile,1
aples,1
briney,4
sessionability,21
NERAX,1
BBCo,1
Afflihem,1
mineraly,5
dipa,34
Effervescence,3
Ceccos,1
CdC,1
beeragent,1
bottel,3
struise,2
